document_id,category_id,confidence_level
1595802,1611,0.92
1595802,1610,0.07
1524246,1807,0.92
1524246,1608,0.07
1617787,1807,0.92
1617787,1608,0.07
1615583,1305,0.92
1615583,1806,0.07
1615460,1613,0.540646372
1615460,1603,0.041136137
1615354,1608,0.505027836
1615354,1807,0.038426031
1614611,1606,0.91916878
1614611,1608,0.069936755
1614235,1606,0.92
1614235,1608,0.07
1614225,1608,0.92
1614225,1603,0.07
1488264,1608,0.92
1488264,1603,0.07
1614048,1608,0.92
1614048,1603,0.07
1543808,1807,0.92
1543808,1608,0.07
1543666,1602,0.92
1543666,1608,0.07
1541439,1807,0.92
1541439,1809,0.07
1613295,1608,0.70938164
1613295,1303,0.05397469
1613215,1807,0.92
1613215,1608,0.07
1524704,1608,0.86483542
1524704,1408,0.065802695
1610319,1603,0.92
1610319,1608,0.07
1542552,1603,0.92
1542552,1807,0.07
1524546,1608,0.92
1524546,1807,0.07
1609802,1608,0.92
1609802,1603,0.07
1647498,1403,0.92
1647498,1207,0.07
1609256,1603,0.92
1609256,1402,0.07
1488057,1807,0.92
1488057,1608,0.07
1608075,1606,0.92
1608075,1602,0.07
1649561,1608,0.92
1649561,1603,0.07
1600843,1602,0.534609332
1600843,1608,0.040676797
1595678,1405,0.92
1595678,1807,0.07
1595611,1405,0.92
1595611,1807,0.07
1536093,1608,0.92
1536093,1602,0.07
1536084,1807,0.92
1536084,1608,0.07
1494886,1807,0.92
1494886,1608,0.07
1649799,1608,0.92
1649799,1807,0.07
1594837,1608,0.92
1594837,1807,0.07
1594007,1602,0.80295576
1594007,1802,0.06109446
1535812,1608,0.92
1535812,1606,0.07
1502838,1405,0.92
1502838,1807,0.07
1591350,1807,0.92
1591350,1608,0.07
1589532,1807,0.92
1589532,1608,0.07
1535078,1405,0.92
1535078,1403,0.07
1495482,1807,0.92
1495482,1608,0.07
1534651,1603,0.92
1534651,1405,0.07
1534401,1606,0.88747432
1534401,1603,0.06752522
1588025,1100,0.4995945
1588025,1702,0.038012625
1587911,1608,0.92
1587911,2100,0.07
1587791,2100,0.92
1587791,1807,0.07
1587682,1603,0.92
1587682,1608,0.07
1534131,1608,0.92
1534131,1603,0.07
1586920,1807,0.670744584
1586920,1608,0.051034914
1586787,1608,0.92
1586787,1602,0.07
1533821,1807,0.92
1533821,1608,0.07
1506824,1608,0.92
1506824,1807,0.07
1586120,1606,0.579283428
1586120,1602,0.044075913
1650920,1807,0.92
1650920,1608,0.07
1533517,1807,0.92
1533517,1603,0.07
1533463,1608,0.92
1533463,2100,0.07
1585940,1807,0.92
1585940,1608,0.07
1533377,1608,0.92
1533377,1603,0.07
1585309,2006,0.515894508
1585309,1808,0.039252843
1533167,1405,0.92
1533167,1510,0.07
1533110,1613,0.575963056
1533110,1608,0.043823276
1583138,1603,0.92
1583138,1405,0.07
1582863,1807,0.92
1582863,1608,0.07
1485396,1608,0.92
1485396,1402,0.07
1582803,1807,0.92
1582803,1606,0.07
1582509,1603,0.92
1582509,1807,0.07
1519134,1608,0.92
1519134,1807,0.07
1487175,1608,0.92
1487175,1405,0.07
1539856,1807,0.92
1539856,1608,0.07
1581724,1608,0.92
1581724,1603,0.07
1503768,1606,0.92
1503768,1513,0.07
1581203,1608,0.92
1581203,1606,0.07
1599917,1608,0.719342756
1599917,1602,0.054732601
1580898,1608,0.92
1580898,1603,0.07
1580604,1602,0.830424292
1580604,1603,0.063184457
1580595,1608,0.92
1580595,1602,0.07
1580448,1606,0.92
1580448,1807,0.07
1579929,1807,0.92
1579929,1608,0.07
1507172,1608,0.92
1507172,1807,0.07
1579602,1807,0.92
1579602,1608,0.07
1523844,1402,0.92
1523844,1807,0.07
1532636,1807,0.92
1532636,1608,0.07
1579400,1807,0.92
1579400,1608,0.07
1503863,1807,0.92
1503863,1608,0.07
1518341,1608,0.92
1518341,1603,0.07
1503867,1807,0.92
1503867,1608,0.07
1502560,1608,0.92
1502560,1807,0.07
1579053,1608,0.92
1579053,1505,0.07
1524045,1807,0.92
1524045,1608,0.07
1577166,1608,0.609166776
1577166,1603,0.046349646
1518171,1807,0.92
1518171,1608,0.07
1531136,2100,0.92
1531136,1807,0.07
1517758,1807,0.92
1517758,1608,0.07
1574267,1608,0.92
1574267,1606,0.07
1574230,1608,0.92
1574230,1602,0.07
1485765,1807,0.92
1485765,1408,0.07
1504236,1807,0.92
1504236,1608,0.07
1517263,1603,0.92
1517263,1807,0.07
1497626,1807,0.92
1497626,1302,0.07
1573143,1807,0.92
1573143,1608,0.07
1572944,1608,0.92
1572944,1807,0.07
1517112,1608,0.92
1517112,1807,0.07
1523718,1608,0.92
1523718,1807,0.07
1524128,1608,0.92
1524128,1603,0.07
1504471,1807,0.92
1504471,1608,0.07
1571782,1608,0.92
1571782,1505,0.07
1524130,1807,0.92
1524130,1608,0.07
1571477,1807,0.92
1571477,1608,0.07
1486812,1608,0.92
1486812,1807,0.07
1571051,1807,0.92
1571051,1603,0.07
1528959,1608,0.92
1528959,1807,0.07
1486741,1807,0.92
1486741,1602,0.07
1528213,1608,0.92
1528213,1603,0.07
1568410,1807,0.92
1568410,1608,0.07
1568348,1807,0.92
1568348,1608,0.07
1568191,1807,0.92
1568191,1608,0.07
1524132,1608,0.92
1524132,1603,0.07
1568141,1807,0.92
1568141,1608,0.07
1568111,1603,0.92
1568111,1807,0.07
1567931,1608,0.92
1567931,1807,0.07
1567828,1807,0.92
1567828,1608,0.07
1567190,1807,0.92
1567190,1608,0.07
1566817,1807,0.92
1566817,1608,0.07
